wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
François Bluche,Causes of the French Revolution,"boucher, françois",0.9091
Bruno Keil,"aristides, aelius","weil, bruno",0.9091
Jean-François Regnard,"fournier, edouard","bernard, jean-françois",0.9091
William Barford,"bryant, jacob","bradford, william",0.9091
Cambridge University primates,Shechita,cambridge university press,0.9091
Johann Heermann,"bridges, robert","habermann, johann",0.9091
Robert L. Bridges,"bridges, robert","bridges, robert",0.9091
Friedrich von Schiller,"constant, benjamin","schiller, friedrich",0.9048
Marcus Tullius Tiro,Epistulae ad Familiares,"cicero, marcus tullius",0.9048
Charles Maturin,"fichte, johann gottlieb","martin, charles",0.9032
Victor Amadeus II,"Louis, Dauphin of France (born 1729)",victor amadeus,0.9032
William Golding,"עגנון, שמואל יוסף","godwin, william",0.9032
Charles Camoin,"braque, georges","cameron, charles",0.9032
Charles Meryon,"ellis, frederick startridge","cameron, charles",0.9032
William Thornton,"palladio, andrea","thorn, william",0.9032
Charles Rolland,"lamartine, alphonse de","rollin, charles",0.9032
William Whitelaw,"castlereagh, robert stewart","white, william",0.9032
William Whitshed,"swift, jonathan","white, william",0.9032
Vladimir Lenin,"montaigne, michel de","lestin, vladimir",0.9032
Giovanni Battista Casali,"grétry, andré ernest modeste","rasario, giovanni battista",0.902
Giovanni Battista Viotti,"grétry, andré ernest modeste","casotti, giovanni battista",0.902
Talk:Johann Nikolaus Forkel,"forkel, johann nikolaus","forkel, johann nikolaus",0.902
Catherine I,catherine,catherine,0.9
Gui Patin,"naudé, gabriel","patin, guy",0.9
Talk:Adelbert von Chamisso,"chamisso, adelbert von","chamisso, adelbert von",0.898
James D. Watson,Medicine,"watson, james",0.8966
William Paley,Natural theology,"hayley, william",0.8966
Antoine Faivre,Kabbalah,"fabre, antoine",0.8966
Thomas Bodley,"hudson, john","bowdler, thomas",0.8966
Marcel Mariën,"miró, joan","marcian, marcel",0.8966
William Hone,"benoist, a","horneck, william",0.8966
Heinrich Gran,Incunable,"braun, heinrich",0.8966
Gaius Duilius,Ancient Roman architecture,"lucilius, gaius",0.8966
William Horman,Parchment,"thorn, william",0.8966
Henry M. Morris,Jacob,"morris, henry",0.8966
Andrea Chénier,"chénier, andré","chénier, andré",0.8966
Raimon Jordan,"jordan, raymond","jordan, raymond",0.8966
Gerard Kuiper,Planet,"kuypers, gerard",0.8966
William Capon,"pearson, john","caxton, william",0.8966
Heinrich Held,"savigny, friedrich karl von","ewald, heinrich",0.8966
Charles Patin,"patin, guy","martin, charles",0.8966
Andreas Reyher,"danz, johann andreas","beyer, andreas",0.8966
Jacques Daléchamps,Deipnosophistae,"delechamps, jacques",0.8947
Robert L. Caruthers,"carruthers, robert","carruthers, robert",0.8947
Talk:Claude-Pierre Goujet,"goujet, claude-pierre","goujet, claude-pierre",0.8936
Talk:Anton Francesco Doni,"doni, anton francesco","doni, anton francesco",0.8936
Talk:Tiberius Hemsterhuis,"hemsterhuis, tiberius","hemsterhuis, tiberius",0.8936
Giovanni Battista Sammartini,"grétry, andré ernest modeste","spampani, giovanni battista",0.8929
André Masséna,"wollstonecraft, mary","masson, andré",0.8889
John Van Voorst,"linné, carl von","voorst, johannes van",0.8889
"Brock, Michael",History of the United Kingdom,"beck, michael",0.8889
Giuseppe Ungaretti,"frisch, max","baretti, giuseppe",0.8889
Elias Levita,List of biblical commentaries,"levita, elijah",0.8889
Nicholas Serarius,List of biblical commentaries,"serarius, nikolaus",0.8889
Miguel de Almeida,Diogo Lopes de Sequeira,"almeida, manuel de",0.8889
Franciscus Dousa,"does, johan van der","donatus, franciscus",0.8889
Napoléon I,"goncourt, jules de",napoléon,0.8889
Charles Este,"pococke, richard","eisen, charles",0.8889
Thomas Pinney,"eliot, george","penny, thomas",0.8889
Yeshu'ah ben Joseph,jonah ben abraham gerondi,jeshua ben joseph,0.8889
John Jay,"machiavelli, niccolò","ray, john",0.8889
Franciscus Linus,Franciscus,"sylvius, franciscus",0.8889
